from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.47382,124.694,8.48298,124.664,154,75,67,1,1,1,1,1,1,,,,,,
8.47305,124.636,8.50685,124.654,154,297,203,1,1,1,2,3,4,,,,,,
8.4795,124.646,8.49576,124.654,164,117,70,1,1,1,1,1,1,,,,,,
8.46985,124.705,8.48843,124.738,153,70,76,1,1,1,2,1,1,,,,,,
8.40139,124.587,8.3969,124.559,177,68,64,1,1,1,2,1,1,,,,,,
8.48899,124.603,8.50333,124.6,151,61,68,1,1,1,1,1,1,,,,,,
8.50314,124.753,8.47483,124.692,149,79,90,1,1,1,2,3,2,,,,,,
8.48033,124.648,8.49092,124.653,138,83,64,1,1,1,2,1,1,,,,,,
8.4958,124.641,8.49837,124.65,146,182,91,1,1,1,2,5,5,,,,,,
8.44809,124.65,8.45724,124.644,160,67,79,1,1,1,1,1,1,,,,,,
8.50911,124.647,8.49846,124.642,167,114,92,1,1,1,1,3,1,,,,,,
8.48316,124.644,8.48719,124.645,190,82,74,1,1,1,2,1,1,,,,,,
8.50239,124.645,8.50302,124.643,180,75,70,1,1,1,2,1,1,,,,,,
8.46066,124.626,8.46076,124.626,214,62,76,1,1,1,1,1,1,,,,,,
8.48303,124.658,8.48612,124.65,154,93,83,1,1,1,2,1,1,,,,,,
8.47841,124.647,8.49631,124.661,157,191,78,1,1,1,2,1,1,,,,,,
8.40384,124.611,8.39399,124.55,172,123,105,1,1,1,2,1,1,,,,,,
8.5115,124.631,8.4799,124.656,145,164,121,1,1,1,2,4,4,,,,,,
8.47473,124.681,8.47463,124.688,153,68,61,1,1,1,1,1,1,,,,,,
8.4918,124.654,8.50358,124.663,162,90,65,1,1,1,2,1,1,,,,,,
8.45664,124.625,8.4759,124.638,160,93,77,1,1,1,2,1,1,,,,,,
8.4803,124.637,8.47681,124.638,155,66,67,1,1,1,2,1,1,,,,,,
8.47394,124.694,8.47474,124.69,174,69,71,1,1,1,1,1,1,,,,,,
8.47277,124.616,8.47294,124.636,175,102,98,1,1,1,2,3,3,,,,,,
8.48583,124.639,8.49465,124.641,158,94,78,1,1,1,2,1,1,,,,,,
8.47473,124.681,8.47637,124.661,147,75,83,1,1,1,2,1,1,,,,,,
8.47305,124.636,8.503,124.641,158,241,99,1,1,1,2,3,4,,,,,,
8.39697,124.594,8.47213,124.617,174,101,85,1,1,1,2,3,3,,,,,,
8.18812,124.532,8.2772,124.581,131,70,77,1,1,1,1,1,1,,,,,,
8.45939,124.615,8.46024,124.626,143,62,59,1,1,1,1,2,2,,,,,,
8.4951,124.658,8.48422,124.65,146,72,68,1,1,1,1,2,2,,,,,,
8.49214,124.742,8.49198,124.742,149,65,71,1,1,1,1,1,1,,,,,,
8.46983,124.659,8.46607,124.659,144,63,62,1,1,1,1,1,1,,,,,,
8.47205,124.639,8.4886,124.641,168,111,71,1,1,1,2,1,1,,,,,,
8.46968,124.704,8.48618,124.735,150,72,62,1,1,1,1,1,1,,,,,,
8.47826,124.656,8.47959,124.656,137,74,98,1,1,1,1,1,1,,,,,,
8.45683,124.645,8.46194,124.643,135,52,69,1,1,1,1,1,1,,,,,,
8.49956,124.664,8.48814,124.649,159,78,71,1,1,1,2,1,2,,,,,,
8.5026,124.664,8.49925,124.663,140,62,66,1,1,1,1,1,1,,,,,,
8.47696,124.651,8.48138,124.645,164,66,71,1,1,1,1,1,1,,,,,,
8.48256,124.638,8.5004,124.6,159,345,179,1,1,1,2,3,3,,,,,,
8.49754,124.661,8.49611,124.661,146,66,63,1,1,1,1,1,1,,,,,,
8.47936,124.647,8.47088,124.703,155,364,98,1,1,1,1,2,2,,,,,,
8.45152,124.648,8.45178,124.648,133,61,60,1,1,1,1,1,1,,,,,,
8.51073,124.634,8.50239,124.645,148,73,62,1,1,1,1,1,1,,,,,,
8.4921,124.651,8.48214,124.635,188,128,89,1,1,1,2,3,3,,,,,,
