from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,,,,,,,,
8.50352,124.603,8.48348,124.598,117,54,49,1,1,1,1,1,1,,,,,,,,
8.45356,124.603,8.47453,124.632,104,61,64,1,1,1,2,5,4,,,,,,,,
8.49825,124.639,8.50485,124.637,108,46,45,1,1,1,2,1,1,,,,,,,,
8.47708,124.635,8.47827,124.656,116,100,54,1,1,1,1,3,2,,,,,,,,
8.46797,124.627,8.47424,124.631,120,48,47,1,1,1,2,1,1,,,,,,,,
8.47701,124.65,8.4685,124.607,133,211,171,1,1,1,2,1,1,,,,,,,,
8.48266,124.633,8.50057,124.636,130,110,65,1,1,1,2,1,1,,,,,,,,
8.47108,124.646,8.4749,124.621,122,113,59,1,1,1,2,1,1,,,,,,,,
8.46404,124.57,8.48104,124.629,110,78,78,1,1,1,2,4,5,,,,,,,,
8.5125,124.637,8.49193,124.653,112,63,54,1,1,1,2,2,2,,,,,,,,
8.5035,124.626,8.48077,124.658,118,112,58,1,1,1,2,1,1,,,,,,,,
8.47223,124.646,8.47195,124.618,123,134,77,1,1,1,2,1,1,,,,,,,,
8.50107,124.623,8.48607,124.635,114,49,48,1,1,1,1,1,2,,,,,,,,
8.49465,124.641,8.49015,124.64,118,47,46,1,1,1,2,1,1,,,,,,,,
8.48316,124.644,8.48404,124.645,107,45,45,1,1,1,2,1,1,,,,,,,,
8.50835,124.637,8.48075,124.639,120,75,62,1,1,1,2,5,4,,,,,,,,
8.20033,124.529,8.20104,124.532,100,43,46,1,1,1,1,1,1,,,,,,,,
8.42297,124.608,8.45755,124.625,131,53,52,1,1,1,2,3,3,,,,,,,,
8.3751,124.511,8.36564,124.502,111,48,48,1,1,1,2,1,1,,,,,,,,
8.47337,124.62,8.3766,124.513,123,369,360,1,1,1,2,1,1,,,,,,,,
8.47763,124.649,8.48156,124.637,120,62,55,1,1,1,2,1,3,,,,,,,,
8.42835,124.613,8.47302,124.633,128,60,63,1,1,1,2,3,3,,,,,,,,
8.44732,124.622,8.4638,124.625,126,48,50,1,1,1,1,3,3,,,,,,,,
8.4598,124.626,8.47296,124.63,122,50,50,1,1,1,2,1,1,,,,,,,,
8.50445,124.619,8.49187,124.633,112,56,51,1,1,1,2,1,1,,,,,,,,
8.4935,124.652,8.50968,124.636,111,73,50,1,1,1,2,1,1,,,,,,,,
8.476,124.611,8.44043,124.57,107,165,63,1,1,1,2,1,1,,,,,,,,
8.48236,124.635,8.4736,124.599,134,185,103,1,1,1,2,2,2,,,,,,,,
8.47312,124.63,8.47306,124.633,124,48,47,1,1,1,1,1,1,,,,,,,,
8.47841,124.628,8.47419,124.577,119,242,113,1,1,1,2,1,1,,,,,,,,
8.47094,124.642,8.47057,124.644,115,47,47,1,1,1,1,1,1,,,,,,,,
8.47015,124.629,8.46452,124.625,116,49,46,1,1,1,2,1,1,,,,,,,,
8.30642,124.544,8.30999,124.546,98,46,45,1,1,1,1,1,1,,,,,,,,
8.44874,124.583,8.44614,124.586,106,45,46,1,1,1,2,1,1,,,,,,,,
8.49065,124.64,8.4905,124.64,111,45,45,1,1,1,1,1,1,,,,,,,,
8.40038,124.562,8.37774,124.514,130,74,69,1,1,1,2,1,1,,,,,,,,
8.47407,124.614,8.47859,124.628,137,75,62,1,1,1,2,2,2,,,,,,,,
8.42493,124.638,8.46283,124.643,107,49,47,1,1,1,1,1,1,,,,,,,,
8.50444,124.619,8.48764,124.66,114,141,69,1,1,1,2,3,3,,,,,,,,
8.48002,124.657,8.47863,124.654,109,46,45,1,1,1,2,1,1,,,,,,,,
8.4756,124.611,8.47449,124.613,126,47,46,1,1,1,1,1,1,,,,,,,,
