from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.46335,124.644,8.44688,124.65,33,14,14,1,1,1,2,1,1,,,,,,
8.48598,124.65,8.50366,124.663,36,23,17,1,1,1,2,1,1,,,,,,
8.47057,124.708,8.4801,124.726,49,17,16,1,1,1,1,1,1,,,,,,
8.48421,124.731,8.49906,124.75,48,16,13,1,1,1,1,1,2,,,,,,
8.47759,124.649,8.47692,124.652,35,12,13,1,1,1,1,1,1,,,,,,
8.49841,124.755,8.48685,124.754,32,22,21,1,1,1,1,2,2,,,,,,
8.49297,124.655,8.49984,124.664,35,16,13,1,1,1,2,1,1,,,,,,
8.50299,124.641,8.49541,124.653,32,12,13,1,1,1,2,1,1,,,,,,
8.47979,124.638,8.47661,124.638,30,11,11,1,1,1,1,1,1,,,,,,
8.47816,124.646,8.47779,124.643,35,12,12,1,1,1,2,1,1,,,,,,
8.47331,124.695,8.45927,124.72,33,20,17,1,1,1,2,1,1,,,,,,
8.48143,124.76,8.49561,124.759,33,21,21,1,1,1,2,1,1,,,,,,
8.44695,124.65,8.44739,124.65,32,11,11,1,1,1,1,1,1,,,,,,
8.49621,124.661,8.50354,124.663,35,14,13,1,1,1,2,1,1,,,,,,
8.51042,124.635,8.49972,124.664,31,14,13,1,1,1,2,1,1,,,,,,
8.46366,124.789,8.50016,124.756,33,15,16,1,1,1,1,1,1,,,,,,
8.48822,124.642,8.47318,124.634,27,12,12,1,1,1,1,1,1,,,,,,
8.47536,124.716,8.48349,124.731,46,13,13,1,1,1,1,1,1,,,,,,
8.4815,124.669,8.47602,124.717,45,37,18,1,1,1,2,1,1,,,,,,
8.51042,124.635,8.50035,124.648,30,12,12,1,1,1,2,1,1,,,,,,
8.49185,124.654,8.49778,124.661,34,14,12,1,1,1,2,1,1,,,,,,
8.49356,124.744,8.50205,124.752,50,18,16,1,1,1,2,1,1,,,,,,
8.4656,124.659,8.45725,124.659,28,13,12,1,1,1,1,1,1,,,,,,
8.47592,124.717,8.47703,124.677,46,21,18,1,1,1,1,2,2,,,,,,
8.45783,124.659,8.47149,124.66,27,15,8,1,1,1,1,1,1,,,,,,
8.49332,124.655,8.4897,124.652,33,9,14,1,1,1,1,1,1,,,,,,
8.45082,124.648,8.43099,124.664,33,14,12,1,1,1,2,1,1,,,,,,
8.45868,124.717,8.4619,124.708,22,13,16,1,1,1,1,1,1,,,,,,
8.48004,124.645,8.49751,124.658,35,25,14,1,1,1,2,1,1,,,,,,
8.49333,124.652,8.49368,124.652,34,10,14,1,1,1,1,1,1,,,,,,
8.49451,124.756,8.48356,124.758,32,21,22,1,1,1,1,2,2,,,,,,
8.47448,124.681,8.48414,124.659,38,23,12,1,1,1,1,1,1,,,,,,
8.47171,124.64,8.47198,124.639,21,13,14,1,1,1,1,1,1,,,,,,
8.47832,124.647,8.47734,124.677,34,33,25,1,1,1,1,1,1,,,,,,
8.48256,124.638,8.48446,124.657,35,15,11,1,1,1,2,1,1,,,,,,
8.48111,124.67,8.47087,124.709,44,28,15,1,1,1,2,1,1,,,,,,
8.50124,124.663,8.48422,124.65,35,24,15,1,1,1,2,1,1,,,,,,
8.50246,124.664,8.49721,124.658,31,13,14,1,1,1,1,1,1,,,,,,
8.49548,124.653,8.48796,124.643,34,19,14,1,1,1,2,2,2,,,,,,
8.47421,124.676,8.47817,124.646,38,16,13,1,1,1,2,1,1,,,,,,
8.4833,124.631,8.49925,124.663,36,19,8,1,1,1,2,1,1,,,,,,
8.47983,124.725,8.48561,124.652,50,35,20,1,1,1,2,3,3,,,,,,
8.50679,124.763,8.48482,124.733,39,20,14,1,1,1,2,1,1,,,,,,
8.47759,124.649,8.48553,124.648,33,16,16,1,1,1,1,1,1,,,,,,
8.49925,124.663,8.49098,124.653,39,14,15,1,1,1,2,1,1,,,,,,
8.43817,124.665,8.47637,124.653,34,19,15,1,1,1,1,1,1,,,,,,
8.48423,124.658,8.48633,124.648,45,14,12,1,1,1,2,1,1,,,,,,
8.49493,124.657,8.49092,124.653,33,14,11,1,1,1,1,1,1,,,,,,
8.46437,124.645,8.44107,124.657,29,19,15,1,1,1,2,1,1,,,,,,
8.48669,124.736,8.48186,124.729,44,16,10,1,1,1,2,1,1,,,,,,
8.47673,124.654,8.47519,124.682,51,27,15,1,1,1,2,1,1,,,,,,
8.47877,124.652,8.48218,124.669,41,29,22,1,1,1,1,1,1,,,,,,
8.48707,124.749,8.48383,124.759,33,12,12,1,1,1,1,1,1,,,,,,
8.48691,124.753,8.48638,124.747,32,11,12,1,1,1,1,1,1,,,,,,
8.48649,124.648,8.50411,124.659,35,30,21,1,1,1,2,1,1,,,,,,
8.46332,124.786,8.47719,124.767,32,12,13,1,1,1,1,1,1,,,,,,
8.45942,124.713,8.4587,124.717,27,12,11,1,1,1,1,1,1,,,,,,
8.47635,124.661,8.47636,124.659,36,11,12,1,1,1,1,1,1,,,,,,
8.46987,124.705,8.48322,124.663,44,24,18,1,1,1,1,2,2,,,,,,
8.49961,124.664,8.48658,124.647,41,20,17,1,1,1,2,1,1,,,,,,
8.4718,124.681,8.47628,124.66,38,13,13,1,1,1,1,1,1,,,,,,
8.45964,124.713,8.45843,124.713,26,11,11,1,1,1,1,1,1,,,,,,
8.42149,124.667,8.42321,124.667,31,11,11,1,1,1,1,1,1,,,,,,
8.47426,124.683,8.47048,124.701,47,16,14,1,1,1,2,1,1,,,,,,
8.49578,124.652,8.50495,124.66,35,17,16,1,1,1,2,1,1,,,,,,
8.46265,124.66,8.43688,124.665,26,17,13,1,1,1,1,1,1,,,,,,
8.47828,124.656,8.48835,124.657,45,16,12,1,1,1,2,1,1,,,,,,
8.45927,124.72,8.47153,124.699,31,13,14,1,1,1,1,2,1,,,,,,
8.50796,124.754,8.47467,124.687,41,25,20,1,1,1,2,2,2,,,,,,
8.50843,124.757,8.46967,124.704,43,22,17,1,1,1,2,2,2,,,,,,
